0000010	1CS-1
0000020	1CS-2
0000030	1CS-3
0000040	1CS-4
0000050	1E-26
0000060	1E-28
0000070	1E-30
0000080	1E-35
0000090	1E-36
0000100	1E-37
0000110	1E-47
0000120	1ES-1
0000130	1ES-3
0000140	1ES-4
0000150	1F--1
0000160	1F--7
0000170	1FS
0000180	1FS-1
0000190	1FS-4
0000200	1FS-9
0000210	1LU
0000220	1MU
0000230	1MUF
0000240	1RD
0000250	1RV-2
0000260	1SB-2
0000270	1SB-4
0000280	1SB-8
0000290	1SB10
0000300	1SB11
0000310	1SB12
0000320	1SU
0000330	2BV-1
0000340	2CU
0000350	2F--2
0000360	2F--3
0000370	2F--4
0000380	2F-R1
0000390	2F-R2
0000400	2F-R3
0000410	2F-R4
0000420	2HV-1
0000430	2MR
0000440	2R--1
0000450	2R--2
0000460	2RV-1
0000470	2SH-1
0000480	2SH-2
0000490	2SH-3
0000500	2SH-4
0000510	2SH-5
0000520	2SH-7
0000530	2SH-8
0000540	2SHF1
0000550	2SHR1
0000560	2SHR2
0000570	2SHS4
0000580	2SHS7
0000590	2SHVF
0000600	3A--1
0000610	3A--2
0000620	3A--3
0000630	3A--7
0000640	3A--9
0000650	3A-10
0000660	3A-11
0000670	3A-12
0000680	3A-13
0000690	3A-J1
0000700	3A-P2
0000710	3A-P4
0000720	3AS-1
0000730	3AS-5
0000740	3AS-9
0000750	3B--1
0000760	3BLF
0000770	3E-4J
0000780	3ES-6
0000790	3ES-7
0000800	3ESS6
0000810	3FW
0000820	3FWS
0000830	3JC
0000840	3JCFR
0000850	3JCWR
0000860	3KL
0000870	3KL-1
0000880	3MA-1
0000890	3PA-1
0000900	3PA-5
0000910	4E-11
0000920	4E-13
0000930	4E-14
0000940	4E-20
0000950	4E-22
0000960	4E-24
0000970	4E-31
0000980	4E-32
0000990	4E-33
0001000	4E-41
0001010	4E-42
0001020	4E-43
0001030	4E-44
0001040	4E-4J
0001050	4E-51
0001060	4E-53
0001070	4E-55
0001080	4E-56
0001090	4ES-4
0001100	4ES-5
0001110	4ES-6
0001120	4FW
0001130	4FWS
0001140	4PE
0001150	5AS-4
0001160	5BL
0001170	5BU
0001180	5BUS
0001190	5FB
0001200	5GP
0001210	5KT-1
0001220	5KT-3
0001230	5KT-4
0001240	5KT-6
0001250	5KTS3
0001260	5MC
0001270	5MK-1
0001280	5MK-2
0001290	5MK-3
0001300	5MK-4
0001310	5MK-4A
0001320	5MK-5
0001330	5MK-5A
0001340	5MK-6
0001350	5MK-6A
0001360	5MK-7
0001370	5MK-8
0001380	5MK-9
0001390	5OR
0001400	5PA-3
0001410	5PAS
0001420	5T--1
0001430	5TU-1
0001440	5TU-4
