NO	_JO
NO	_lO
NO	JO
NO	lO
NO	_lO
NO	L0
NO	LO
NO	10
NO	_1O
NO	_10
NO	MO
NO	XO
NO	N0
NO	N@)
YES	VCQ
YES	_E5
YES	__E5
NO	NE
NO	NE)
NO	X0
NO	VE
NO	(X@)
NO	N)
NO	XO)
NO	XE
NO	E)
NO	ILE)
NO	XTO)
NO	OO I
